incidencia_id,viaje_id,vehiculo_id,conductor_id,linea_id,fecha,anno,mes,hora_incidencia,tipo_incidencia,categoria,severidad,requiere_retirada,duracion_resolucion_min,vehiculo_sustituto,coste_estimado_eur
1,33554,39,11,4,2022-06-01,2022,6,19:11,Huelga parcial,Operacional,Alta,True,60,False,0.0
2,9428,21,21,6,2023-02-16,2023,2,20:42,Fallo electrico,Vehiculo,Alta,True,62,False,575.51
3,200,33,5,8,2022-01-20,2022,1,06:21,Accidente leve,Seguridad,Alta,True,29,True,3318.0
4,12448,17,17,10,2023-01-16,2023,1,02:30,Vandalismo,Seguridad,Media,False,16,False,651.99
5,39490,11,11,6,2023-01-08,2023,1,14:51,Retencion trafico,Externo,Baja,False,14,False,49.88
6,42725,12,26,6,2024-07-02,2024,7,17:48,Pasajero enfermo,Servicio,Media,False,19,False,49.15
7,10823,30,16,7,2024-03-01,2024,3,16:00,Vandalismo,Seguridad,Media,False,5,False,794.83
8,49499,24,24,5,2023-03-03,2023,3,22:20,Obras calzada,Externo,Media,False,5,False,0.0
9,4145,30,2,5,2024-05-02,2024,5,20:30,Huelga parcial,Operacional,Alta,True,85,True,0.0
10,36959,42,28,6,2023-08-09,2023,8,18:25,Pasajero enfermo,Servicio,Media,False,20,False,22.45
11,43107,16,16,5,2023-09-19,2023,9,11:21,Accidente leve,Seguridad,Alta,True,9,True,3908.61
12,38696,15,1,8,2023-07-24,2023,7,16:41,Vandalismo,Seguridad,Media,False,8,False,564.9
13,6189,16,2,1,2022-02-11,2022,2,15:00,Retencion trafico,Externo,Baja,False,12,False,20.07
14,1415,30,16,7,2024-05-30,2024,5,20:23,Accidente grave,Seguridad,Critica,True,11,True,12247.12
15,18472,35,21,1,2022-05-03,2022,5,10:11,Fallo climatizacion,Vehiculo,Baja,False,5,False,128.52
16,29283,10,24,5,2023-06-29,2023,6,09:30,Fallo climatizacion,Vehiculo,Baja,False,5,False,134.44
17,15178,17,3,6,2024-03-05,2024,3,19:53,Pinchazo,Vehiculo,Media,True,24,True,113.68
18,34305,34,6,3,2024-10-20,2024,10,17:40,Vandalismo,Seguridad,Media,False,7,False,547.69
19,12610,11,11,7,2023-10-14,2023,10,11:50,Averia mecanica,Vehiculo,Alta,True,5,False,2753.39
20,12145,8,22,1,2022-01-09,2022,1,18:44,Pinchazo,Vehiculo,Media,True,21,False,131.11
21,6114,25,11,9,2023-09-04,2023,9,21:31,Fallo electrico,Vehiculo,Alta,True,95,True,993.8
