viaje_id,linea_id,vehiculo_id,conductor_id,parada_origen_id,parada_destino_id,fecha,anno,mes,dia_semana,es_festivo,franja_horaria,hora_salida_prog,hora_salida_real,hora_llegada_real,retraso_salida_min,duracion_real_min,pasajeros_subidos,ocupacion_pct,km_programados,km_recorridos,viaje_completado,consumo,tarifa_predominante_id
1,4,2,2,17,116,2023-08-14,2023,8,Monday,False,Tarde punta,17:50,18:09,19:22,19,73,78.0,0.609,14.1,14.1,True,4.69,4
2,4,3,3,5,48,2024-05-20,2024,5,Monday,False,Manana punta,07:10,07:23,08:30,13,67,115.0,0.885,14.1,14.1,True,5.86,2
3,5,4,4,33,110,2023-08-15,2023,8,Tuesday,False,Valle manana,12:30,12:30,13:05,0,35,47.0,0.362,7.3,7.3,True,3.15,3
4,2,5,5,37,116,2022-03-23,2022,3,Wednesday,False,Tarde punta,20:50,20:50,21:36,0,46,111.0,0.888,11.2,11.2,True,3.5,9
5,5,6,6,12,115,2022-03-24,2022,3,Thursday,False,Tarde punta,18:10,18:18,18:50,8,32,75.0,0.405,7.3,7.3,True,3.13,3
6,8,7,7,32,77,2022-07-06,2022,7,Wednesday,False,Valle manana,13:30,13:34,14:26,4,52,14.0,0.108,12.6,12.6,True,14.26,4
7,7,8,8,1,110,2022-03-17,2022,3,Thursday,False,Valle manana,13:20,13:23,13:58,3,35,36.0,0.277,8.9,8.9,True,11.98,3
8,1,9,9,36,57,2023-01-20,2023,1,Friday,False,Tarde,14:40,14:40,16:12,0,92,23.0,0.184,18.4,18.4,True,19.9,8
9,8,10,10,36,42,2024-09-19,2024,9,Thursday,False,Manana punta,07:50,07:52,08:51,2,59,87.0,0.68,12.6,12.6,True,2.47,3
10,2,11,11,32,78,2023-04-06,2023,4,Thursday,False,Noche,22:00,22:01,22:50,1,49,50.0,0.391,11.2,11.2,True,2.95,3
11,5,12,12,39,106,2024-04-30,2024,4,Tuesday,False,Tarde punta,19:30,19:36,20:05,6,29,88.0,0.688,7.3,7.3,True,2.58,4
12,3,13,13,1,77,2022-05-23,2022,5,Monday,False,Valle manana,10:30,10:41,11:21,11,40,6.0,0.033,9.7,9.7,True,3.27,4
13,10,14,14,21,65,2024-09-29,2024,9,Sunday,True,Madrugada,03:40,03:39,04:46,-1,67,40.0,0.32,15.0,15.0,True,17.26,9
14,4,15,15,25,90,2024-02-24,2024,2,Saturday,True,Valle manana,09:30,09:30,10:20,0,50,42.0,0.328,14.1,14.1,True,5.62,9
15,3,16,16,29,53,2024-10-11,2024,10,Friday,False,Noche,22:10,22:10,22:53,0,43,36.0,0.281,9.7,9.7,True,4.09,3
16,8,17,17,17,84,2022-02-01,2022,2,Tuesday,False,Tarde punta,18:30,18:33,19:39,3,66,89.0,0.695,12.6,12.6,True,3.91,3
17,7,18,18,32,110,2022-06-14,2022,6,Tuesday,False,Tarde punta,20:50,20:50,21:36,0,46,91.0,0.7,8.9,8.9,True,3.06,1
18,2,19,19,7,53,2023-04-26,2023,4,Wednesday,False,Tarde,16:20,16:22,17:23,2,61,73.0,0.562,11.2,11.2,True,4.04,3
19,5,20,20,34,93,2022-03-01,2022,3,Tuesday,False,Manana punta,06:00,06:06,06:35,6,29,77.0,0.616,7.3,7.3,True,2.34,3
20,3,21,21,38,59,2022-12-15,2022,12,Thursday,False,Manana punta,08:40,08:44,09:34,4,50,156.0,0.843,9.7,9.7,True,3.24,2
21,5,22,22,5,97,2024-07-30,2024,7,Tuesday,False,Valle manana,10:00,10:03,10:41,3,38,35.0,0.269,7.3,7.3,True,8.9,9
22,10,23,23,31,54,2023-09-05,2023,9,Tuesday,False,Madrugada,03:50,03:50,04:50,0,60,84.0,0.646,15.0,15.0,True,17.31,2
